alpha	beta
-692889887	82357250
-691687145	59599454
-690539291	117817610
-690537539	107812688
-689905978	60400850
-689404601	60509768
-688171790	92213024
-687189184	129804620
-686935300	146318936
-686496187	141776240
-685094102	93927308
-682665194	101875694
-682068346	19500062
-681231163	137237792
-681008038	125367494
-680186585	106375532
-679607921	85931222
-679530353	85524296
-678126040	110367176
-678124613	86816696
-677957260	119457950
-677345413	100245902
-677331880	28644656
-676934410	122091584
-676917436	72575654
-676619590	32529092
-675567115	111212690
-675175640	2002064
-674819969	141149876
-674693522	23096156
-674363657	153999032
-673957661	1995890
-673925366	138910982
-672681209	15909800
-672650965	48957332
-672491653	96365552
-671296195	133779938
-671134346	132468944
-670690502	51935828
-670556783	123182042
-670498297	87255914
-668571179	56548940
-668390939	51054764
-667657591	147197048
-666879943	96200618
-666595942	79902068
-666092984	112566884
-665569471	80739086
-664467841	126571478
-664159831	75765200
-664039676	120299756
-663212443	156095366
-662292601	89960036
-660671449	158212400
-660303491	110142968
-660191933	66485984
-659532428	64266584
-659334916	128652332
-659239679	123820664
-658957459	6147428
-658008784	142236500
-657597613	156939332
-657545084	125343482
-657518719	66018992
-657371495	150765242
-657042307	140324972
-656876788	33648998
-656830466	72518756
-656712041	103505000
-656507071	37530158
-655637629	39947144
-655622228	78348866
-655490282	58480340
-655427093	125088260
-655143829	149478926
-654355858	121249184
-654290221	13656830
-653602315	31317440
-652843132	61678922
-652207301	40965242
-651233318	39543476
-651028607	66496190
-650644658	57965432
-649402331	32562590
-649235281	164878880
-648365354	136760126
-647832130	43260818
-647762750	53036204
-647597813	128508116
-647464094	117632984
-646365800	37467158
-646028758	132400958
-645869734	135128966
-645725879	83651846
-644411746	134920670
-644215834	119937722
-641667481	62689370
-641615149	157707842
-641450563	22000892
-641104334	25153790
-640974268	136673780
-640386854	127215104
-640338163	1381838
-639800174	59277506
-639745403	38918732
-639105731	161540114
-638833657	65988806
-637799857	173902208
-637265566	164943176
-636992438	96441242
-636945080	102203798
-636940484	43395530
-636932642	108110750
-636414256	107951090
-635264401	70455668
-634693261	126040802
-633877597	90892202
-633353497	171262040
-632694742	73248386
-632230502	177490814
-631610365	27923306
-631344889	130043840
-630651209	44588084
-630260474	76241426
-630179428	173569874
-629290897	17243492
-628704392	70751336
-628549151	41390942
-628129630	90558194
-627734159	133772990
-627220522	177161504
-626764832	118059080
-625652830	65623766
-623329426	105983456
-623024626	105875294
-622900166	5122256
-622386388	20832044
-621947392	101469452
-621297016	127113026
-621268040	50880974
-621006706	66332066
-620226436	153684698
-619765895	144937076
-619182374	94696538
-618765046	179536910
-618597094	154896746
-618549517	123693314
-617932493	92536286
-617634935	50317916
-617599538	88242098
-617061062	124374434
-617053160	172686254
-617032847	162236714
-615887257	173516684
-615884260	3538472
-615792794	129332552
-615498953	153828608
-614702074	167523872
-614032733	152585780
-612944441	155503688
-612708571	66076988
-612485335	81245912
-612237421	107148020
-612056627	24024524
-611595073	73580612
-610452775	94444970
-610124960	20470406
-609621341	9622418
-609533128	3239204
-608721821	98991194
-608548610	53113946
-608318441	133032830
-608239024	58134038
-607093277	132477080
-605960521	145597442
-605668592	49010378
-605628805	154368212
-604286815	113653778
-603378884	96003950
-603133588	56012594
-602822455	113252180
-602714287	58957718
-601906171	46320206
-601572829	114524960
-601506125	154742072
-601160003	169273094
-600124703	112651664
-599972506	134079260
-598889860	134173328
-598758466	71993930
-598634674	17368322
-598220594	11603138
-597959825	194703008
-597958970	177329444
-597744278	144436424
-597583325	148687808
-596801672	27884192
-596563069	21160652
-596217163	106929338
-596128630	192925310
-595638476	28862060
-595265599	61340648
-593889062	187231658
-593771587	113475560
-592859522	79421504
-592526635	114596978
-590974882	11670998
-590471515	18165668
-590325511	17397068
-590167841	103691750
-589799587	165195086
-589516271	36031622
-589221820	110791598
-588453844	103354430
-588329294	174999668
-588292411	156740054
-588217357	8739788
-587575333	15388412
-587563795	170011490
-587313110	64221170
-587291942	105715256
-587193014	118598864
-586709161	180586850
-586696222	65467004
-586016894	144694292
-584782040	12508970
-584185117	156464222
-584137220	127962374
-584135111	112346924
-583980940	117284108
-583705069	199085054
-582275090	67454096
-582221089	135224618
-580244563	136474934
-580102939	187501784
-579363806	200935994
-579158227	52446128
-578629436	162600548
-578047069	94191386
-577841416	186990368
-577421459	109009292
-576288812	73315940
-575194024	82532876
-574775414	3217568
-573739196	69473894
-573483731	171703670
-573348287	182954876
-573009779	101894702
-572888416	33779372
-572853137	87750878
-572596090	134589182
-572168459	27844628
-572102189	73769954
-571823140	178234268
-571481956	27672674
-571389545	47362424
-571128914	115392146
-570799760	108675752
-570557740	118854806
-570511610	100807196
-570251837	177351908
-569426809	100677074
-569160437	135522752
-568092514	154523066
-566896330	103991414
-566776070	106032578
-566720660	68565254
-566551276	91623614
-566543362	75792020
-566509250	91627844
-566089045	99866948
-565850759	6966464
-565628494	108638942
-565465330	197869892
-564791266	5552852
-564179302	152066606
-563931268	100333976
-563887288	61488698
-563640293	25939004
-563341045	175991810
-563206868	73062464
-562924942	51424142
-562783105	183734672
-562341490	82814036
-562110439	168805886
-561080716	188971952
-560907344	212533016
-560510396	169122182
-560432390	88743524
-558443629	43874816
-558283010	87818630
-557785658	142116692
-557772920	49943264
-557541748	84272000
-556976962	150006200
-556797953	106678094
-556370866	94463600
-556347418	162314798
-555094586	214117124
-554766892	213492956
-553712210	193426844
-553450709	189447350
-553160278	45839948
-552975502	42779516
-552725536	172269824
-552507506	153879242
-552430462	30385472
-552151321	125721212
-551871185	151480958
-551775257	74293322
-551109581	102218486
-550770682	61759940
-550769063	153506282
-550654384	98881880
-550108079	22534826
-549730295	81535280
-549121600	83948432
-548569508	168739790
-548289325	56606198
-547291622	218562854
-547223294	208124780
-546928553	128445854
-546525668	136961240
-545992487	120468542
-545940629	202261496
-545576119	102196184
-544843496	101214212
-544048343	111357014
-543335104	159264842
-542665084	62768228
-541194674	54020354
-540303239	102152552
-540133735	215675240
-540038950	91229414
-539976056	194688230
-539591131	36452156
-539233561	16855790
-539194969	187521332
-538788769	45960152
-538204699	164988500
-536284661	79941092
-535876876	194821880
-535614869	174436250
-534727550	17868956
-533302121	162140882
-532674634	64207544
-532639504	189964688
-532482503	70580408
-531821674	227736446
-531610555	58245674
-530031196	220652240
-529951828	54578192
-529906183	30541586
-529608592	71234834
-529144667	10587056
-528434984	41737820
-528304973	184110440
-528215347	118894028
-527927843	139945658
-527555933	158600912
-527402660	216432518
-527069344	206707550
-526941514	216450500
-526907407	156670070
-526890469	184305200
-526596761	94271630
-526345255	47290496
-526321784	24241532
-525032726	116016152
-524625298	110299766
-523739332	94658162
-523351783	43272248
-523000571	118147370
-522472948	81281912
-521766712	123314918
-521016200	41221526
-520901375	215361140
-520479263	184278416
-520443596	51043712
-520354210	5466992
-519788029	29385392
-519557906	55995620
-519320677	202207496
-518777705	160736972
-518433280	43870316
-517654628	154056632
-517573355	208252436
-516552818	87205172
-516125332	111304760
-516006613	73875740
-514878176	37883516
-514858019	212161226
-514406620	74576210
-514177678	145231178
-514069376	19929470
-513976799	221575082
-513334643	79708568
-513188728	71130794
-512760946	31506404
-512428142	42724814
-511709992	204529946
-510184480	94969148
-509641729	149121842
-508495190	100902164
-508423027	96314612
-508398800	9941396
-507964634	179001392
-507907597	238653572
-507808435	104508536
-507653516	194880002
-507287573	44737178
-507127745	28485266
-506998256	184545464
-506760992	68372474
-506235839	207035096
-505942183	154530842
-505519670	125544200
-505390321	117192398
-505263164	102064838
-505233187	127784300
-504319787	149996534
-503758636	215742830
-503724052	27223466
-503709317	73812740
-502051301	25931318
-501744086	175925444
-501632336	12014744
-501556507	20833070
-501100054	46436630
-501059549	191868440
-500209729	235853546
-499835485	27113810
-499775731	240078074
-499317055	91030604
-498844183	100892534
-498099229	125339756
-497990342	214123910
-497781919	199572800
-497730821	76048916
-497247320	65846606
-497099561	112500572
-497058674	39054776
-496597985	110996888
-496473199	102329816
-496142483	234741560
-494690321	140754272
-494439682	56907374
-494254412	206130794
-493401587	180549878
-493292408	500090
-492661814	175284374
-492344647	137775668
-492234905	68582696
-492050120	155251166
-491776117	164991056
-491385151	162854564
-491228584	3215714
-489797524	116021696
-489073345	107448854
-488457758	111833960
-486912248	73956308
-486236275	79155464
-486093701	73380542
-485759773	153173264
-485423303	123866978
-483538075	211294004
-483475862	106721006
-483162368	84884900
-482482999	67199666
-482417224	51372446
-482320760	142952306
-482314019	9496166
-482079425	21828200
-481631332	137504210
-481272611	236868620
-480928894	54600476
-480419896	55296536
-479801900	234270086
-479515208	120924662
-478523944	152416778
-478521496	119988428
-478460179	149868698
-478237108	224934818
-477992912	128058998
-477971090	112865324
-477945299	147579998
-477609800	57910028
-477605722	119315966
-477537218	92250806
-477510064	240033452
-477415682	43066562
-477391043	152319038
-477284842	163647338
-476907247	91190192
-476757235	8313854
-476706422	17245742
-476694266	109178942
-476517694	209284196
-476221529	70520288
-475588091	82398326
-475526734	165266762
-475413535	253132088
-475367435	57668720
-475365493	235956308
-475295509	189001274
-475179752	26170970
-474962432	182687648
-474579671	241010510
-473882135	143260556
-473698304	84703586
-473360551	71984066
-473281114	149434520
-472638179	121907678
-470839667	152750156
-470261065	107965400
-469665104	257625572
-469355465	28587974
-469263250	161631824
-469158439	163745942
-468778840	187954358
-468774037	197298464
-468350689	91153310
-468349471	38768810
-467703754	248874890
-467483692	32960948
-467337589	46972796
-467169200	212619488
-467079476	177987992
-466770292	201283952
-466195778	175784936
-465485128	233782934
-465436393	79987298
-465300884	62059064
-465241028	129973334
-464929555	32952434
-464773060	135819482
-464642681	10369742
-464459450	11773076
-463677739	10676282
-463263817	176375282
-463092155	256441622
-462566204	177074600
-462078748	92635826
-461896244	213044702
-461775508	238375616
-461679166	170270204
-461487296	258056042
-461390032	21450236
-461210363	163906430
-460844117	241400426
-460822514	134045078
-460575803	35991752
-460213864	58519436
-460204900	241597202
-460146640	40106858
-459229928	197886092
-459153290	258847718
-458760553	34793402
-458685668	100140080
-458279392	243059234
-457279657	75241238
-456800504	110362748
-456414118	209110928
-455436059	151352924
-455369297	133306340
-455099855	145618304
-454478588	262120154
-453972859	105715796
-453355606	131012456
-453301831	235314338
-453290626	60945512
-453130943	75947954
-453125806	76536446
-452087416	125980106
-451824151	263153048
-451533055	209064074
-451487299	35541338
-451188194	7454696
-451112665	225541382
-449907241	41145206
-449722312	146161742
-449691593	211375832
-449646530	260743460
-449409901	96066194
-448595222	57475256
-448336358	200894414
-447455524	181292702
-445546267	105751742
-445410031	188949452
-444975724	84218054
-444812530	172491962
-444657035	122459342
-444234251	210036794
-443902154	30219890
-443704918	128803118
-442451639	257496908
-442398245	63123368
-442156861	38695118
-441977828	204627596
-441908896	195942542
-441647053	187581578
-440867801	41743166
-440642327	225356216
-440132636	264498332
-439646008	22159886
-439079782	231267650
-438223268	59709308
-437700926	220907246
-437003273	265761050
-436866071	229387748
-436835093	275325422
-436269148	193076564
-436233671	159985220
-435724585	147156998
-435003056	130086104
-434590306	120575804
-434071577	92191424
-433953260	140658710
-433851296	219739172
-433561583	69549926
-433302328	96132218
-433209134	196596248
-432998951	19752116
-432954589	223812590
-432752617	225874832
-432581875	255127766
-432552145	176900486
-432455986	251608766
-432450818	201911900
-432191453	59624312
-430756904	252157910
-430756786	256762904
-430336289	165400826
-430280495	245004278
-429758659	274080632
-429648284	230543726
-428453768	10891256
-428448598	230000990
-428354575	201057116
-428304461	57417728
-428157742	170030372
-427874957	149519156
-427758323	188819294
-427004224	214757168
-426959494	95028152
-426308888	4305866
-425820068	127163840
-425662915	34816640
-425660440	238252730
-425535509	269637404
-424765927	27680324
-424428691	46105970
-424348064	58833500
-424295357	98239910
-424267838	198733928
-424189151	133012436
-423908525	232728440
-423109787	4919594
-422938673	238764110
-421635841	207783158
-421438802	97279322
-421327421	131519012
-421059203	67369100
-420926296	257325962
-420605383	173279480
-419627969	77404712
-419080913	225810572
-418579979	9113828
-418278572	105822086
-417386701	64703678
-417369182	229007030
-417278864	12536924
-417231751	258429848
-417073607	9605408
-416667620	88614464
-416554219	225075308
-416553769	169955438
-416402035	192263378
-416225210	185916056
-416180516	104309006
-415945928	143842154
-415838492	18333572
-415835111	62351834
-415318673	197255408
-414881444	179742362
-414826982	10763420
-413014262	126622328
-412887928	190589288
-412796078	203167184
-412738103	160513430
-412542860	5852246
-412324352	75250706
-411927343	145496966
-411394030	199562936
-411263554	127362254
-411100661	29380010
-410635202	91899392
-409807541	99142970
-409489576	225391892
-409237963	209980022
-409189732	31500644
-409074308	215250026
-408762947	164837012
-408606989	86939618
-408592502	53906072
-407931566	250486664
-407589298	6222920
-407223140	251406104
-406549333	138183656
-405982841	166239644
-405092272	251138786
-404872513	189327182
-404160890	188899664
-403731650	255693128
-403713691	288238928
-403670596	224511890
-403379410	207078800
-403250584	269134988
-403243366	120821216
-402970744	231802700
-402798259	177595592
-402740434	224498120
-402723452	64316840
-402139619	151455542
-401379664	98368430
-400860614	1963742
-400797764	194138024
-400714643	144617684
-400506067	52336094
-400377334	265495982
-400210631	75883748
-399808699	149806742
-399752708	92938604
-399525590	161614652
-399064990	15118178
-398926715	229760690
-398807290	82166630
-398438483	66279020
-398336048	109647752
-397600966	62575628
-397355830	80431916
-397161155	94267832
-397144598	83626826
-397053734	173944220
-397020047	245932754
-396937676	7936916
-396854975	20195348
-396617932	72892040
-396550243	233049830
-396418406	105079856
-396240268	250224170
-395687936	272314688
-395287013	52435436
-395179847	164082578
-395039744	76612460
-395018873	6866168
-394261025	47344856
-393894550	132163862
-393783368	137646266
-393765595	91754762
-393505021	17273642
-393275083	66749612
-393183446	152283092
-392852990	29547608
-392770718	217640606
-392664329	130251596
-392294185	295617614
-391786223	115921184
-391492361	288151754
-391146946	5239004
-391008851	1585778
-390724921	291183404
-390585161	192871130
-390578356	138756830
-390432451	82251788
-390392959	142625840
-390257062	111425306
-390020735	237441902
-390017935	131643842
-389837113	170829014
-388854295	35904254
-388675049	211020206
-388576192	22072712
-388310399	190745150
-388140161	275458802
-387627536	232367486
-387497621	164280938
-387464837	174386462
-387330997	41755910
-387022141	139404740
-386705669	208930820
-386704871	259309706
-386585665	270348026
-386508406	39348716
-386138518	241591334
-385977037	259350332
-385748846	214522358
-385559740	298089356
-385428350	179357360
-385221143	85658900
-385208678	84115472
-384408476	167826038
-383482540	245521076
-383399266	174434558
-382637555	253608494
-382550705	123840140
-382548277	189132314
-382236254	206209418
-381445463	82545476
-381046159	46297922
-380681509	87593144
-380627681	149497790
-380063593	105592010
-379983643	153521330
-379880495	12116030
-379855718	187187090
-379722977	118887962
-379665364	281065604
-379657903	237163244
-379465871	235939064
-379394231	76484318
-378527266	241901726
-377573362	185947934
-377291554	196749122
-376795534	113116262
-376623806	301689194
-376583668	183073730
-376469947	110002370
-375954673	247648190
-375721217	205902194
-375379072	52856582
-375310520	241455668
-375011924	270581126
-374663893	27768776
-374215912	161162960
-374161862	255285122
-373943230	173732288
-373742836	169961126
-372842189	144924008
-372742117	162482918
-372591380	258064232
-372319844	53856878
-371760865	260845754
-371412895	202099136
-371275963	240642626
-370933339	216438476
-370574995	249073448
-370201210	42294254
-369821320	94362206
-369711601	77953730
-369505427	16322648
-369457897	232300400
-368668133	73441796
-368659276	118137056
-368602375	98364938
-368127389	95513144
-367872512	262540580
-367672102	2663132
-367416982	159751508
-367313732	35410154
-367064401	143636270
-366394643	43630466
-365987707	124904876
-365686411	96738962
-365126992	34856978
-365066416	225662162
-364858427	240036944
-364545460	295649276
-364286512	53239226
-364236470	58733996
-364113977	271197104
-363367973	226675724
-363343664	183162164
-363324067	34432376
-362917036	87486602
-362531543	68339642
-362442784	181792364
-361993106	280752890
-360905638	257092016
-359897195	275165006
-359657489	55987034
-359542378	132904850
-359237228	239872586
-358953833	113721836
-358776355	18546764
-358612345	64393106
-358119263	253726790
-357796312	270029066
-357709726	53920598
-357124184	146337656
-356907409	98629142
-356811724	76913690
-356504167	221524178
-355770665	229277282
-355151360	172997186
-355096319	264597242
-354510958	153423140
-354474977	158631926
-354395665	205775294
-354322831	93912116
-354112108	270985820
-354071866	230901620
-353878075	269788640
-353554181	100033016
-353541989	246347096
-353408422	119628716
-353286010	215675798
-352856375	83566454
-352597717	242325158
-352574935	133595942
-352490068	72207572
-352469144	62617460
-352349203	232742480
-352160152	186096056
-352148467	70615688
-351211667	72437648
-351049675	246424532
-351012230	128348348
-350822881	165777440
-350487089	33047762
-350335445	40046630
-349760926	195913994
-349015792	47403536
-348563321	119034500
-348456484	78361232
-348453475	191178320
-347561998	115117196
-347081266	5915300
-347000150	48962984
-346747109	8113352
-346724221	119278490
-346336324	62052638
-346302049	275843696
-345535312	17372102
-345044179	112280882
-344989736	107585492
-344813959	231735128
-344484506	278628278
-344281516	194590436
-344272742	5352746
-344182696	93789680
-344006347	83947532
-343857697	228552692
-343718540	135403556
-343534036	130234352
-343219286	169904552
-343204690	203897228
-343196497	175916876
-342960715	303563336
-342806729	110021018
-342782033	137399540
-342697327	165039278
-342515254	243312080
-341745770	71942432
-341703872	276091520
-341439554	228085574
-341336284	36903578
-341322293	228640226
-340863130	121402814
-340507015	8372822
-340388813	6938834
-340259728	214526696
-339641450	140382500
-339556609	300299828
-339514781	253867748
-339435539	36080168
-339319843	323783186
-339076783	171347612
-339055861	85154342
-338972696	321997676
-338579258	264959294
-338363072	283377326
-338315869	246430562
-338111165	30536114
-337882193	181091318
-337431905	296937572
-337200884	315387374
-336928798	126634136
-336884747	126865076
-336204887	169315304
-335413976	167384318
-335378119	4179974
-335359073	79417364
-334805803	119800346
-334739702	145511996
-333773216	704372
-333441703	69617588
-333064972	209803118
-332929348	43795562
-332519977	218565320
-332406397	5319248
-332396678	81020300
-331486334	33634508
-331399810	219996752
-331262528	114114200
-330983972	128829794
-330767479	14604800
-330326204	102829640
-329838881	107804624
-329721484	120669170
-329427163	228430796
-328909582	79330334
-328904342	264761618
-328728559	315746978
-328520419	326259680
-328075022	155677424
-328034647	215812994
-327838820	101030468
-327472873	185587106
-327425362	53183768
-326999522	204346832
-326975255	232421810
-326399747	213041012
-326240446	157442090
-326120258	294374516
-326038145	95700902
-325920763	330770516
-325914373	258597860
-325728152	75882794
-325347772	54952484
-325106029	160484504
-324883573	107945744
-324804071	130498016
-324766618	76367966
-324526748	145389290
-324478069	58819406
-324197735	133860974
-324176638	281894504
-323999672	25573352
-323908855	215205260
-323534116	216830156
-322824172	149040140
-322772549	77907524
-322645085	73486616
-322384372	244917374
-322292380	259260404
-322272265	283860644
-322211735	172233914
-321798914	178792376
-321507761	248001872
-321490133	206708846
-321487303	127740704
-321082391	123678122
-320955862	48790292
-320769751	295318130
-320664226	303742004
-320644022	197497364
-320597960	103304606
-320560367	244356584
-320436476	330792098
-320120440	232679192
-319968034	10184702
-319707871	64314590
-319685167	46542686
-319674317	170725730
-319375808	308347952
-319285583	141953270
-319121153	119198138
-318752864	25568402
-318724835	290070680
-318593170	235023008
-318369484	90627206
-318310877	318575570
-318037802	2484140
-317869757	308046884
-317737391	218100236
-317706391	205806956
-317696068	329171414
-317471840	39657740
-317325550	151929356
-317215313	11047784
-317001620	296866544
-316638523	57047684
-316613530	123061856
-316400342	196638386
-316302503	180048200
-315756509	228467408
-315677143	327201926
-315529712	185850896
-314333740	20861366
-313988213	22455878
-313245677	152376404
-312949265	190140098
-312949231	232118726
-312789059	107224358
-312710225	84976214
-312177172	110169194
-312105065	1433876
-312075374	326654402
-312052295	172645502
-311987183	102689330
-311889335	329424386
-311022872	56402222
-310710938	231573182
-310475855	78285452
-310161037	37572134
-310057820	241335734
-309932819	81234896
-309814568	103869050
-309469858	131042120
-309414712	48040376
-308712415	258866348
-308403578	281373332
-308000423	329760482
-307864402	241696346
-307498774	250069712
-307492259	293233892
-307475653	56117228
-307426711	260166434
-306942244	177648404
-306316529	157980434
-306094004	244230026
-305988172	331035314
-305868007	262645628
-305795951	306324500
-305702321	257772416
-305646217	261413438
-305578562	94712810
-305251319	221186174
-305003098	98871512
-304891862	339879542
-304769525	84849116
-304233293	210531362
-304047935	104234108
-304046369	335463332
-303760988	197757230
-303448652	229248518
-303050972	295116890
-302916356	293269532
-302511361	199434038
-302446208	156343784
-302198923	3486740
-302165114	136932332
-302003971	300005294
-300673018	68862488
-299957167	286505492
-298365061	145433876
-298357103	109484276
-298261084	312623240
-298079486	133434806
-298075268	86047538
-297933596	68216666
-297656444	27203954
-297020678	101175170
-296750530	120747182
-295891945	90868514
-295414820	230450612
-295274597	277100942
-295177946	62867966
-295104950	228958934
-295079377	32045504
-294857141	23562050
-294699509	14820494
-294677807	269863034
-294662284	251876534
-294450580	322730150
-294087562	243857948
-294000887	319198604
-293780693	184462628
-293758294	235870538
-293744426	32177066
-293591944	180356558
-293266424	257058698
-293026363	68290862
-292978705	103924832
-292242661	289321466
-291988498	137584508
-291872144	109447844
-291871226	189726638
-291482375	30124040
-291431545	122630522
-291391522	59516996
-291353774	309925634
-291090226	307863068
-290765483	258132200
-289912952	302382338
-289475896	191281352
-289414010	184743446
-289088663	310111070
-288843922	164135066
-287520374	328925876
-287446435	314956004
-287420704	229330922
-286595641	138505028
-286558490	317952320
-286527514	265167068
-286378699	208817906
-286245073	27697424
-285941152	303327032
-285741578	166076942
-285481819	200457482
-285100700	239818262
-284853566	98936978
-284808494	293579978
-283916423	97661318
-283579448	98046716
-283494328	205532312
-283219240	28793444
-282154106	190539140
-282125692	220522082
-282084085	311939510
-281896468	334945706
-281655854	340305296
-281530408	191322050
-281048957	62827448
-280969276	119905988
-280405867	334852682
-280160638	181778270
-280105102	236905304
-279664885	92840576
-279202984	76467380
-278620735	112546670
-278333005	25731302
-277908199	301694378
-277522484	10238918
-277403443	301922024
-277166063	212203040
-276937289	251899772
-276335005	83651540
-276243827	308259068
-275984116	192994448
-275933657	157783640
-275680082	290426882
-275632613	181828166
-275228569	12081938
-275101645	133728188
-275080577	126621284
-274925177	353159816
-274824661	25760336
-274634462	199257206
-274538947	14859356
-274448801	332708198
-274172641	86924714
-274027570	336420734
-273585008	127256000
-273529345	268110968
-273338587	160490012
-273137893	223685276
-273050948	154134734
-272959105	299118650
-272634490	97106324
-272563573	81529484
-272541452	250625948
-272424650	42467540
-272404331	325308038
-272282566	135693284
-272151962	87851876
-271925969	259537262
-271915612	115512062
-271789093	206092544
-271667299	355733420
-271634252	165452792
-270960203	34038914
-270868858	145892462
-270837908	322171880
-270668041	240096668
-270617836	338709740
-270553178	82639994
-270104666	207431168
-269890190	304165328
-269884385	214637774
-269011018	281598368
-268565863	354290540
-268507789	208683878
-267980363	292903268
-267611500	90647024
-267594800	195416744
-267587492	22933418
-267377111	160829924
-267246943	287713490
-266955236	283977158
-266831825	79319426
-266740655	355294544
-266658100	40031960
-266553352	38980454
-266529796	94022096
-266194576	40907192
-266110912	63430754
-265905205	279082112
-265672999	110564726
-265181407	152409434
-265106656	301820342
-265099706	15113822
-264799330	116614400
-264684487	211356806
-264545047	76912394
-264390385	51399860
-264157829	189974192
-263636186	31303274
-263630092	136199732
-263619043	311418230
-263561584	271896782
-263247760	93969914
-263131513	111812468
-263056112	113930114
-262825994	216707738
-262614070	168104822
-262534627	17794364
-262329259	298226048
-262066004	216099194
-261786137	357367730
-260923031	253125482
-260663555	96774800
-259981667	245977808
-259865501	135957218
-259856512	358461644
-259586036	34906748
-259422694	99773492
-259089311	55707242
-258940643	145403672
-258835066	280906718
-258698767	345874532
-258526228	335697692
-257394190	304054610
-256992205	362375330
